AccountId,Score,Level,FailedLevels
694707,61,6.0,"3:1:0,5:1:0,7:1:6"
694850,111,8.0,"3:1:0,8:1:6,9:1:8"
694125,4,1.0,"2:1:0,2:2:0,2:3:1"
694707_2,66,6.0,"7:1:1,7:2:2,7:3:0"
694125_2,40,5.0,"3:1:0,5:1:0,6:1:3"
694694,60,6.0,"4:1:3,4:2:2,7:1:0"
419521,27,4.0,"4:1:1,4:2:0,5:1:4"
694597,124,9.0,"5:1:1,8:1:1,10:1:5"
694668,95,7.0,"2:1:0,8:1:7,8:2:6"
694684,59,5.0,"6:1:5,6:2:4,6:3:5"
550084,128,9.0,"7:1:5,9:1:4,10:1:5"
694677,85,7.0,"7:1:3,7:2:5,8:1:7"
446514,130,9.0,"6:1:5,6:2:2,10:1:7"
694664,102,7.0,"8:1:7,8:2:4,8:3:7"
608554,60,6.0,"4:1:0,6:1:4,7:1:3"
694673,50,5.0,"5:1:3,6:1:3,6:2:4"
694676,59,6.0,"5:1:2,6:1:3,7:1:2"
694675,51,5.0,"1:1:0,6:1:2,6:2:5"
656017,59,6.0,"3:1:0,6:1:1,7:1:4"
694672,22,3.0,"4:1:1,4:2:0,4:3:3"
694147,22,3.0,"3:1:2,4:1:3,4:2:2"
694661,91,7.0,"6:1:2,8:1:6,8:2:5"
694643,85,7.0,"1:1:0,7:1:2,8:1:7"
694621,23,3.0,"4:1:3,4:2:2,4:3:0"
