item_id,a,b
1,8.0,-5.0
2,8.0,-4.615384615384615
3,8.0,-4.230769230769231
4,8.0,-3.846153846153846
5,8.0,-3.4615384615384617
6,8.0,-3.0769230769230766
7,8.0,-2.692307692307692
8,8.0,-2.3076923076923075
9,8.0,-1.923076923076923
10,8.0,-1.5384615384615383
11,8.0,-1.1538461538461537
12,8.0,-0.7692307692307692
13,8.0,-0.38461538461538414
14,8.0,0.0
15,8.0,0.384615384615385
16,8.0,0.7692307692307692
17,8.0,1.1538461538461542
18,8.0,1.5384615384615392
19,8.0,1.9230769230769234
20,8.0,2.3076923076923084
21,8.0,2.6923076923076925
22,8.0,3.0769230769230766
23,8.0,3.4615384615384617
24,8.0,3.8461538461538467
25,8.0,4.230769230769232
26,8.0,4.615384615384617
27,8.0,5.0
